Mar 13 2018      5:33:01 pm     Elt: 003247 Seconds.  Real Time: 003168
ID: No spectrum identifier defined
Memory Size: 2048 Chls  Conversion Gain: 2048  Adc Offset: 0000 Chls

 Chn    Counts  ROI
1932        0  000
1933        0  000
1934        0  000
1935        0  000
1936        0  000
1937        0  000
1938        0  000
1939        0  000
1940        0  000
1941        0  000
1942        0  000
1943        0  000
1944        0  000
1945        0  000
1946        0  000
1947        0  000
1948        0  000
1949        0  000
1950        0  000
1951        0  000
1952        0  000
1953        0  000
1954        0  000
1955        0  000
1956        0  000
1957        0  000
1958        0  000
1959        0  000
1960        0  000
1961        0  000
1962        0  000
1963        0  000
1964        0  000
1965        0  000
1966        0  000
1967        0  000
1968        0  000
1969        0  000
1970        0  000
1971        0  000
1972        0  000
1973        0  000
1974        0  000
1975        0  000
1976        0  000
1977        0  000
1978        0  000
1979        0  000
1980        0  000
1981        0  000
1982        0  000
1983        0  000
1984        0  000
1985        0  000
1986        0  000
1987        0  000
1988        0  000
1989        0  000
1990        0  000
1991        0  000
1992        0  000
1993        0  000
1994        0  000
1995        0  000
1996        0  000
1997        0  000
1998        0  000
1999        0  000
2000        0  000
2001        0  000
2002        0  000
2003        0  000
2004        0  000
2005        0  000
2006        0  000
2007        0  000
2008        0  000
2009        0  000
2010        0  000
2011        0  000
2012        0  000
2013        0  000
2014        0  000
2015        0  000
2016        0  000
2017        0  000
2018        0  000
2019        0  000
2020        0  000
2021        0  000
2022        0  000
2023        0  000
2024        0  000
2025        0  000
2026        0  000
2027        0  000
2028        0  000
2029        0  000
2030        0  000
2031        0  000
2032        0  000
2033        0  000
2034        0  000
2035        0  000
2036        0  000
2037        0  000
2038        0  000
2039        0  000
2040        0  000
2041        0  000
2042        0  000
2043        0  000
2044        0  000
2045        0  000
2046        0  000
2047        0  000
